Academic Year,County Code,District Code,School Code,County_Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)",FreemealsK12,Percent_K12,"FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2015-16  CALPADS Fall 1  Certification Status"
2015-2016,15,63859,1530351,Kern,Wasco Union High,Wasco Independence High,High School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,125,100,80.00%,113,90.40%,88,71,80.70%,81,92.00%,Y
2015-2016,15,63859,1536440,Kern,Wasco Union High,Wasco High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,1701,1209,71.10%,1350,79.40%,1631,1161,71.20%,1293,79.30%,Y
2015-2016,15,73544,6010011,Kern,Rio Bravo-Greeley Union Elementary,Rio Bravo-Greeley Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,5,8,446,178,39.90%,211,47.30%,446,178,39.90%,211,47.30%,Y
2015-2016,15,73544,6117816,Kern,Rio Bravo-Greeley Union Elementary,Rio Bravo Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,4,594,262,44.10%,299,50.30%,582,257,44.20%,293,50.30%,Y
2015-2016,15,73742,119495,Kern,Sierra Sands Unified,Sierra Vista Education Center,Unified School District,Preschool,Traditional,None,N,,,N,P,P,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2015-2016,15,73742,1530054,Kern,Sierra Sands Unified,Mesquite Continuation High,Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,88,55,62.50%,55,62.50%,70,45,64.30%,45,64.30%,Y
2015-2016,15,73742,1531367,Kern,Sierra Sands Unified,Burroughs High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1403,458,32.60%,524,37.30%,1348,434,32.20%,497,36.90%,Y
2015-2016,15,73742,6009294,Kern,Sierra Sands Unified,Pierce Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,309,215,69.60%,232,75.10%,306,214,69.90%,231,75.50%,Y
2015-2016,15,73742,6009310,Kern,Sierra Sands Unified,Murray Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,619,247,39.90%,295,47.70%,619,247,39.90%,295,47.70%,Y
2015-2016,15,73742,6009328,Kern,Sierra Sands Unified,Richmond Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,455,202,44.40%,242,53.20%,449,200,44.50%,239,53.20%,Y
