Academic Year,County Code,District Code,School Code,County_Name,District Name,School Name,District Type,School Type,"Educational Option Type","NSLP Provision Status","Charter School (Y/N)","Charter School Number","Charter Funding Type",IRC,Low Grade,High Grade,"Enrollment (K-12)",FreemealsK12,Percent_K12,"FRPM Count (K-12)","Percent (%) Eligible FRPM (K-12)","Enrollment (Ages 5-17)","Free Meal Count (Ages 5-17)","Percent (%) Eligible Free (Ages 5-17)","FRPM Count (Ages 5-17)","Percent (%) Eligible FRPM (Ages 5-17)","2015-16 CALPADS Fall 1 Certification Status"
2015-2016,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,None,Y,811,Directly funded,Y,9,12,407,229,56.30%,274,67.30%,389,220,56.60%,260,66.80%,Y
2015-2016,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,Breakfast Provision 2,Y,1284,Directly funded,Y,K,8,192,132,68.80%,158,82.30%,185,128,69.20%,153,82.70%,Y
2015-2016,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,None,Y,1296,Locally funded,Y,K,8,307,15,4.90%,21,6.80%,307,15,4.90%,21,6.80%,Y
2015-2016,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,None,Y,1383,Directly funded,Y,K,8,317,93,29.30%,108,34.10%,312,92,29.50%,107,34.30%,Y
2015-2016,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,None,N,,,N,K,12,137,75,54.70%,75,54.70%,121,66,54.50%,66,54.50%,Y
2015-2016,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,None,N,,,N,K,12,253,205,81.00%,219,86.60%,205,164,80.00%,177,86.30%,Y
2015-2016,1,10017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,None,Y,1707,Directly funded,Y,6,8,76,58,76.30%,68,89.50%,76,58,76.30%,68,89.50%,Y
2015-2016,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,None,Y,740,Directly funded,Y,K,5,620,486,78.40%,537,86.60%,600,474,79.00%,525,87.50%,Y
2015-2016,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2,Y,1464,Directly funded,Y,K,8,459,354,77.10%,424,92.40%,444,344,77.50%,411,92.60%,Y
2015-2016,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,None,N,,,N,1,Adult,47,47,100.00%,47,100.00%,41,41,100.00%,41,100.00%,Y
2015-2016,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,None,N,,,N,P,12,392,256,65.30%,262,66.80%,313,196,62.60%,202,64.50%,Y
2015-2016,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,36,5,13.90%,5,13.90%,31,5,16.10%,5,16.10%,Y
2015-2016,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,175,40,22.90%,53,30.30%,172,38,22.10%,50,29.10%,Y
2015-2016,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,535,295,55.10%,336,62.80%,535,295,55.10%,336,62.80%,Y
2015-2016,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,None,Y,1066,Directly funded,Y,K,12,528,105,19.90%,116,22.00%,523,105,20.10%,116,22.20%,Y
2015-2016,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,Y,1181,Directly funded,Y,6,8,502,109,21.70%,126,25.10%,502,109,21.70%,126,25.10%,Y
2015-2016,1,61119,126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,8,304,94,30.90%,112,36.80%,297,92,31.00%,109,36.70%,Y
2015-2016,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1718,271,15.80%,312,18.20%,1647,254,15.40%,293,17.80%,Y
2015-2016,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,High Schools (Public),Traditional,None,Y,352,Directly funded,Y,6,12,379,34,9.00%,42,11.10%,371,33,8.90%,41,11.10%,Y
2015-2016,1,61119,130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,None,Y,398,Directly funded,Y,9,12,165,145,87.90%,154,93.30%,143,126,88.10%,133,93.00%,Y
2015-2016,1,61119,131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,None,Y,1718,Directly funded,Y,K,5,72,29,40.30%,34,47.20%,71,29,40.80%,33,46.50%,Y
2015-2016,1,61119,132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,None,N,,,N,6,12,1336,466,34.90%,539,40.30%,1287,448,34.80%,517,40.20%,Y
2015-2016,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,117,51,43.60%,54,46.20%,80,32,40.00%,34,42.50%,Y
2015-2016,1,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,520,113,21.70%,136,26.20%,508,110,21.70%,133,26.20%,Y
2015-2016,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,478,49,10.30%,54,11.30%,478,49,10.30%,54,11.30%,Y
2015-2016,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,593,79,13.30%,101,17.00%,593,79,13.30%,101,17.00%,Y
2015-2016,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,339,38,11.20%,46,13.60%,339,38,11.20%,46,13.60%,Y
2015-2016,1,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,438,197,45.00%,222,50.70%,423,188,44.40%,213,50.40%,Y
2015-2016,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,888,89,10.00%,112,12.60%,888,89,10.00%,112,12.60%,Y
2015-2016,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,468,190,40.60%,217,46.40%,468,190,40.60%,217,46.40%,Y
2015-2016,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,297,110,37.00%,125,42.10%,284,107,37.70%,122,43.00%,Y
2015-2016,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,622,39,6.30%,46,7.40%,598,37,6.20%,44,7.40%,Y
2015-2016,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,591,26,4.40%,37,6.30%,591,26,4.40%,37,6.30%,Y
2015-2016,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,4,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,Y
2015-2016,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,None,N,,,N,10,12,16,5,31.30%,9,56.30%,15,4,26.70%,8,53.30%,Y
2015-2016,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1210,140,11.60%,206,17.00%,1179,136,11.50%,201,17.00%,Y
2015-2016,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,548,45,8.20%,60,10.90%,548,45,8.20%,60,10.90%,Y
2015-2016,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,895,118,13.20%,156,17.40%,895,118,13.20%,156,17.40%,Y
2015-2016,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,497,55,11.10%,68,13.70%,497,55,11.10%,68,13.70%,Y
2015-2016,1,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,652,145,22.20%,182,27.90%,614,142,23.10%,177,28.80%,Y
2015-2016,1,61143,1,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,25,5,20.00%,5,20.00%,19,4,21.10%,4,21.10%,Y
2015-2016,1,61143,122689,Alameda,Berkeley Unified,REALM Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,Y,1254,Directly funded,Y,6,8,302,174,57.60%,218,72.20%,302,174,57.60%,218,72.20%,Y
2015-2016,1,61143,122697,Alameda,Berkeley Unified,REALM Charter High,Unified School District,High Schools (Public),Traditional,None,Y,1255,Directly funded,Y,9,12,366,216,59.00%,268,73.20%,351,206,58.70%,257,73.20%,Y
2015-2016,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,3113,737,23.70%,861,27.70%,3020,703,23.30%,822,27.20%,Y
2015-2016,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,None,N,,,N,10,12,64,45,70.30%,47,73.40%,54,38,70.40%,40,74.10%,Y
2015-2016,1,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1027,289,28.10%,361,35.20%,1027,289,28.10%,361,35.20%,Y
2015-2016,1,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,569,213,37.40%,260,45.70%,569,213,37.40%,260,45.70%,Y
2015-2016,1,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,463,125,27.00%,140,30.20%,455,123,27.00%,138,30.30%,Y
2015-2016,1,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,419,128,30.50%,157,37.50%,419,128,30.50%,157,37.50%,Y
2015-2016,1,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,305,108,35.40%,126,41.30%,305,108,35.40%,126,41.30%,Y
2015-2016,1,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,422,115,27.30%,132,31.30%,412,113,27.40%,130,31.60%,Y
2015-2016,1,61143,6090278,Alameda,Berkeley Unified,Leconte Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,354,126,35.60%,160,45.20%,347,124,35.70%,158,45.50%,Y
2015-2016,1,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,571,150,26.30%,177,31.00%,549,146,26.60%,171,31.10%,Y
2015-2016,1,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,512,226,44.10%,256,50.00%,512,226,44.10%,256,50.00%,Y
2015-2016,1,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,302,108,35.80%,124,41.10%,302,108,35.80%,124,41.10%,Y
2015-2016,1,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,442,153,34.60%,184,41.60%,442,153,34.60%,184,41.60%,Y
2015-2016,1,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,466,113,24.20%,141,30.30%,454,108,23.80%,136,30.00%,Y
2015-2016,1,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,448,128,28.60%,153,34.20%,441,127,28.80%,152,34.50%,Y
2015-2016,1,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,292,113,38.70%,131,44.90%,292,113,38.70%,131,44.90%,Y
2015-2016,1,61150,1,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,20,7,35.00%,7,35.00%,16,7,43.80%,7,43.80%,Y
2015-2016,1,61150,130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,None,N,,,N,9,12,27,5,18.50%,5,18.50%,0,0,0.00%,0,0.00%,Y
2015-2016,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2917,445,15.30%,593,20.30%,2848,428,15.00%,569,20.00%,Y
2015-2016,1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,141,36,25.50%,42,29.80%,123,30,24.40%,36,29.30%,Y
2015-2016,1,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,469,153,32.60%,193,41.20%,457,152,33.30%,192,42.00%,Y
2015-2016,1,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,456,60,13.20%,81,17.80%,456,60,13.20%,81,17.80%,Y
2015-2016,1,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,793,107,13.50%,153,19.30%,793,107,13.50%,153,19.30%,Y
2015-2016,1,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,653,69,10.60%,89,13.60%,629,66,10.50%,86,13.70%,Y
2015-2016,1,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,477,152,31.90%,184,38.60%,477,152,31.90%,184,38.60%,Y
2015-2016,1,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,140,13,9.30%,18,12.90%,140,13,9.30%,18,12.90%,Y
2015-2016,1,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,501,54,10.80%,77,15.40%,501,54,10.80%,77,15.40%,Y
2015-2016,1,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,479,101,21.10%,145,30.30%,464,100,21.60%,144,31.00%,Y
2015-2016,1,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,442,55,12.40%,63,14.30%,442,55,12.40%,63,14.30%,Y
2015-2016,1,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1412,252,17.80%,320,22.70%,1412,252,17.80%,320,22.70%,Y
2015-2016,1,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,439,18,4.10%,23,5.20%,439,18,4.10%,23,5.20%,Y
2015-2016,1,61168,132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,174,114,65.50%,124,71.30%,170,113,66.50%,122,71.80%,Y
2015-2016,1,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,524,349,66.60%,393,75.00%,519,345,66.50%,389,75.00%,Y
2015-2016,1,61176,1,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,44,3,6.80%,3,6.80%,35,3,8.60%,3,8.60%,Y
2015-2016,1,61176,127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,None,N,,,N,9,12,23,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2015-2016,1,61176,130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2093,364,17.40%,457,21.80%,2050,346,16.90%,438,21.40%,Y
2015-2016,1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,204,107,52.50%,124,60.80%,173,88,50.90%,103,59.50%,Y
2015-2016,1,61176,130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,7,12,29,6,20.70%,6,20.70%,26,6,23.10%,6,23.10%,Y
2015-2016,1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,None,Y,152,Locally funded,N,K,12,304,47,15.50%,49,16.10%,297,46,15.50%,48,16.20%,Y
2015-2016,1,61176,134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2253,280,12.40%,360,16.00%,2212,275,12.40%,351,15.90%,Y
2015-2016,1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1401,481,34.30%,603,43.00%,1356,467,34.40%,587,43.30%,Y
2015-2016,1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2069,70,3.40%,84,4.10%,2044,69,3.40%,83,4.10%,Y
2015-2016,1,61176,138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1822,438,24.00%,532,29.20%,1763,420,23.80%,508,28.80%,Y
2015-2016,1,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,456,187,41.00%,233,51.10%,440,184,41.80%,227,51.60%,Y
2015-2016,1,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,754,298,39.50%,346,45.90%,733,295,40.20%,343,46.80%,Y
2015-2016,1,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,484,217,44.80%,251,51.90%,484,217,44.80%,251,51.90%,Y
2015-2016,1,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,472,227,48.10%,276,58.50%,472,227,48.10%,276,58.50%,Y
2015-2016,1,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,659,213,32.30%,248,37.60%,659,213,32.30%,248,37.60%,Y
2015-2016,1,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,489,117,23.90%,144,29.40%,478,116,24.30%,143,29.90%,Y
2015-2016,1,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,580,189,32.60%,222,38.30%,547,185,33.80%,216,39.50%,Y
2015-2016,1,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,3,1018,31,3.00%,36,3.50%,1014,31,3.10%,36,3.60%,Y
2015-2016,1,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,605,123,20.30%,158,26.10%,604,123,20.40%,158,26.20%,Y
2015-2016,1,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,591,151,25.50%,173,29.30%,575,149,25.90%,171,29.70%,Y
2015-2016,1,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,615,86,14.00%,96,15.60%,615,86,14.00%,96,15.60%,Y
2015-2016,1,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,670,43,6.40%,52,7.80%,670,43,6.40%,52,7.80%,Y
2015-2016,1,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,581,56,9.60%,73,12.60%,581,56,9.60%,73,12.60%,Y
2015-2016,1,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,552,133,24.10%,141,25.50%,550,132,24.00%,140,25.50%,Y
2015-2016,1,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,895,72,8.00%,87,9.70%,867,70,8.10%,85,9.80%,Y
2015-2016,1,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,650,133,20.50%,187,28.80%,649,133,20.50%,187,28.80%,Y
2015-2016,1,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,559,142,25.40%,166,29.70%,547,142,26.00%,166,30.30%,Y
2015-2016,1,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,3,6,886,33,3.70%,42,4.70%,886,33,3.70%,42,4.70%,Y
2015-2016,1,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,961,268,27.90%,317,33.00%,961,268,27.90%,317,33.00%,Y
2015-2016,1,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,729,303,41.60%,368,50.50%,729,303,41.60%,368,50.50%,Y
2015-2016,1,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,1140,146,12.80%,179,15.70%,1140,146,12.80%,179,15.70%,Y
2015-2016,1,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,1207,207,17.10%,260,21.50%,1207,207,17.10%,260,21.50%,Y
2015-2016,1,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,1017,29,2.90%,38,3.70%,1017,29,2.90%,38,3.70%,Y
2015-2016,1,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,820,32,3.90%,33,4.00%,790,32,4.10%,33,4.20%,Y
2015-2016,1,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,676,76,11.20%,84,12.40%,639,75,11.70%,83,13.00%,Y
2015-2016,1,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,926,142,15.30%,170,18.40%,910,142,15.60%,170,18.70%,Y
2015-2016,1,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,788,42,5.30%,53,6.70%,788,42,5.30%,53,6.70%,Y
2015-2016,1,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,622,16,2.60%,16,2.60%,610,16,2.60%,16,2.60%,Y
2015-2016,1,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,720,123,17.10%,159,22.10%,720,123,17.10%,159,22.10%,Y
2015-2016,1,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,597,117,19.60%,149,25.00%,597,117,19.60%,149,25.00%,Y
2015-2016,1,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,989,58,5.90%,75,7.60%,980,58,5.90%,75,7.70%,Y
2015-2016,1,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,880,46,5.20%,53,6.00%,850,45,5.30%,52,6.10%,Y
2015-2016,1,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,1022,37,3.60%,49,4.80%,1022,37,3.60%,49,4.80%,Y
2015-2016,1,61192,1,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,83,36,43.40%,39,47.00%,63,34,54.00%,37,58.70%,Y
2015-2016,1,61192,108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,None,Y,684,Directly funded,Y,9,12,533,229,43.00%,320,60.00%,523,225,43.00%,316,60.40%,Y
2015-2016,1,61192,111815,Alameda,Hayward Unified,Stonebrae Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,737,325,44.10%,391,53.10%,737,325,44.10%,391,53.10%,Y
2015-2016,1,61192,113902,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,Y,836,Directly funded,Y,9,12,462,198,42.90%,276,59.70%,455,196,43.10%,274,60.20%,Y
2015-2016,1,61192,119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,None,Y,1067,Directly funded,Y,1,8,222,58,26.10%,74,33.30%,222,58,26.10%,74,33.30%,Y
